region_clean,wine_count,avg_rating,median_rating_count,median_price,median_price_for_value,avg_weighted_value_score,quality_score,popularity_score,value_score,reliability_score,price_accessibility_score,region_opportunity_score
Vino dItalia,18,3.93,1781.5,39.01,39.01,1.4657,0.33009708737864096,0.7239408267143271,1.0,0.16040659158519113,0.8482444183546847,0.5889
Conegliano-Valdobbiadene Prosecco Superiore,17,3.79,2937.0,29.2,29.2,1.3308,0.19417475728155353,0.9260021357344892,0.9033182828065649,0.14453825648335641,0.9389415698611258,0.586
Prosecco,81,3.67,2015.0,23.99,23.99,1.3204,0.07766990291262141,0.7737163558290835,0.8958646885974343,0.5895751850844377,1.0,0.5843
Bolgheri Sassicaia,22,4.62,3527.0,554.5,554.5,0.0704,1.0,1.0,0.0,0.21647991010762424,0.0,0.5825
Primitivo di Manduria,58,4.21,1166.0,93.49,93.49,0.7241,0.6019417475728155,0.552663772470637,0.4685013975489142,0.49296272669661967,0.5711545353424053,0.5435
Franciacorta,36,3.86,2391.0,34.48,34.48,0.8367,0.262135922330097,0.8428669800699438,0.5492008886977711,0.3560132975757049,0.8869883862065254,0.5413
Brunello di Montalcino,194,4.26,1020.0,99.72,99.72,0.3348,0.6504854368932037,0.4986201361600514,0.18949329893212927,0.8438221382079443,0.5505668885215466,0.5393
Salento,52,3.98,1079.0,41.96,41.96,1.0564,0.3786407766990292,0.5213362146199223,0.7066580663656561,0.461486945736512,0.8253063287782572,0.537
Amarone della Valpolicella Classico,59,4.34,1413.0,117.95,117.95,0.2804,0.728155339805825,0.6302944274834835,0.15050526768436892,0.4978954933392275,0.49692684538756393,0.5305
Toscane,331,4.05,966.0,99.65,99.65,0.5162,0.4466019417475727,0.4766477396873353,0.31950118254138893,1.0,0.5507910580094915,0.5221
Moscato d'Asti,19,4.14,864.0,29.99,29.99,1.0002,0.5339805825242715,0.4315746565498334,0.6663799899663154,0.1754607993786696,0.9306154246259846,0.5207
Chianti Classico,185,3.94,1201.0,54.57,54.57,0.6108,0.33980582524271846,0.5646126686259952,0.38730022217444277,0.829953761144722,0.7423197326396587,0.5193
Puglia,67,3.92,998.0,69.0,69.0,1.1267,0.3203883495145631,0.4898120473443128,0.7570414964523758,0.5346299629148801,0.667884869059538,0.517
Bolgheri Superiore,38,4.47,1509.0,257.0,257.0,0.1817,0.8543689320388347,0.6568553518112062,0.07976779187271554,0.37146384939493826,0.2472789026513008,0.5169
Trento,15,4.05,1982.0,45.55,45.55,0.7081,0.4466019417475727,0.7670426724954905,0.457034329534867,0.10996979457250991,0.7994284226129189,0.5136
Bolgheri,58,4.08,1482.5,70.0,70.0,0.542,0.4757281553398059,0.6496960419720681,0.33799182971404,0.49296272669661967,0.6633112353365931,0.513
Veneto,67,3.93,1022.0,47.95,47.95,0.9764,0.33009708737864096,0.4994114384896719,0.6493227262954203,0.5346299629148801,0.7832188137519405,0.5123
Valpolicella Ripasso,44,3.97,1190.0,50.5,50.5,0.9155,0.3689320388349517,0.5608952091158893,0.6056761986669533,0.4134629032929393,0.7668447389680505,0.5107
Lugana,13,4.11,1337.0,61.5,61.5,0.7738,0.5048543689320392,0.6079551662423808,0.5041209775675483,0.07077930475265509,0.7044260911065672,0.4853
Asti,10,3.88,2868.0,201.3,201.3,1.0333,0.2815533980582524,0.9163924119148689,0.6901024869203756,0.0,0.32569781034685286,0.4842
Prosecco di Treviso,31,3.7,1463.0,39.0,39.0,1.1771,0.10679611650485465,0.6443457148559946,0.7931627606966244,0.31340343657593306,0.848325017223048,0.4836
Chianti Rπfina,14,3.86,2354.0,48.63,48.63,0.7969,0.262135922330097,0.8365634404201334,0.5206765570128288,0.09102820933238134,0.7787704509592304,0.4834
Emilia,13,3.88,1064.0,30.92,30.92,1.1173,0.2815533980582524,0.5156808026917199,0.7503045939941231,0.07077930475265509,0.9210815790036031,0.4662
Isola dei Nuraghi,13,4.2,1104.0,71.0,71.0,0.5566,0.592233009708738,0.5305896015231879,0.348455529276858,0.07077930475265509,0.6588015706191568,0.4565
Umbrië,16,4.06,1086.5,48.5,48.5,0.6712,0.4563106796116501,0.5241345327873281,0.4305884039274708,0.12776267890803375,0.7796161419566376,0.4512
